"","SCC","Short.Name"
"112","2530050040","Bulk Materials Storage /Bulk Stations/Terminals /Coal"
"113","2535000040","Bulk Materials Transport /All Transport Types /Coal"
"114","2535010040","Bulk Materials Transport /Rail Car /Coal"
"115","2535020040","Bulk Materials Transport /Marine Vessel /Coal"
"116","2535030040","Bulk Materials Transport /Truck /Coal"
"117","30102105","Chem Manuf /Sodium Carbonate /Monohydrate Process: Rotary Ore Calciner: Coal-fired"
"118","30200112","Alfalfa Dehydration /Coal-fired, Triple-Pass Dryer Cyclone"
"119","30201601","Sugar Beet Processing /Pulp Dryer : Coal-fired"
"120","30201684","Sugar Beet Processing /Lime Kiln : Coal-fired"
"121","30300305","By-product Coke Manuf /Coal Unloading"
"122","30300307","By-product Coke Manuf /Coal Crushing/Handling"
"123","30300309","By-product Coke Manuf /Coal Conveying"
"124","30300310","By-product Coke Manuf /Coal Crushing"
"125","30300311","By-product Coke Manuf /Coal Screening"
"126","30300313","By-product Coke Manuf /Coal Preheater"
"127","30300316","By-product Coke Manuf /Coal Storage Pile"
"128","30301594","Integr Iron&Steel Manuf /Pile Formation Stacker: Coal"
"129","30302314","Taconite Iron Ore Processing /Indurating Furnace: Coal Fired** (see 3-03-023-51 thru -88)"
"130","30302357","Taconite Iron Ore Processing /Induration: Grate/Kiln, Coke & Coal-fired, Acid Pellets"
"131","30302358","Taconite Iron Ore Processing /Induration: Grate/Kiln, Coke & Coal-fired, Flux Pellets"
"132","30302359","Taconite Iron Ore Processing /Induration: Grate/Kiln, Coal-fired, Acid Pellets"
"133","30302360","Taconite Iron Ore Processing /Induration: Grate/Kiln, Coal-fired, Flux Pellets"
"134","30302361","Taconite Iron Ore Processing /Induration: Grate/Kiln, Coal & Oil-fired, Acid Pellets"
"135","30302362","Taconite Iron Ore Processing /Induration: Grate/Kiln, Coal & Oil-fired, Flux Pellets"
"136","30402005","Secondary Metals /Furnace Electrode Manuf /Grafitization of Coal by Heating Process"
"137","30500313","Brick Manuf /Curing and Firing: Coal-fired Tunnel Kilns"
"138","30500316","Brick Manuf /Curing and Firing: Coal-fired Periodic Kilns"
"139","30500334","Brick Manuf /Curing and Firing: Coal-fired Kiln, Other Type"
"140","30500355","Brick Manuf /Coal Crushing And Storage System"
"141","30500621","Cement Manuf (Dry Proc) /Pulverized Coal Kiln Feed Units"
"142","30501001","Coal Mining, Cleaning & Material Handling /Fluidized Bed"
"143","30501002","Coal Mining, Cleaning & Material Handling /Flash or Suspension"
"144","30501003","Coal Mining, Cleaning & Material Handling /Multilouvered"
"145","30501004","Coal Mining, Cleaning & Material Handling /Rotary"
"146","30501005","Coal Mining, Cleaning & Material Handling /Cascade"
"147","30501006","Coal Mining, Cleaning & Material Handling /Continuous Carrier"
"148","30501007","Coal Mining, Cleaning & Material Handling /Screen"
"149","30501008","Coal Mining, Cleaning & Material Handling /Unloading"
"150","30501009","Coal Mining, Cleaning & Material Handling /Raw Coal Storage"
"151","30501010","Coal Mining, Cleaning & Material Handling /Crushing"
"152","30501011","Coal Mining, Cleaning & Material Handling /Coal Transfer"
"153","30501012","Coal Mining, Cleaning & Material Handling /Screening"
"154","30501013","Coal Mining, Cleaning & Material Handling /Air Tables"
"155","30501014","Coal Mining, Cleaning & Material Handling /Cleaned Coal Storage"
"156","30501015","Coal Mining, Cleaning & Material Handling /Loading"
"157","30501016","Coal Mining, Cleaning & Material Handling /Loading: Clean Coal"
"158","30501017","Coal Mining, Cleaning & Material Handling /Secondary Crushing"
"159","30501021","Coal Mining, Cleaning & Material Handling /Overburden Removal"
"160","30501022","Coal Mining, Cleaning & Material Handling /Drilling/Blasting"
"161","30501023","Coal Mining, Cleaning & Material Handling /Loading"
"162","30501024","Coal Mining, Cleaning & Material Handling /Hauling"
"163","30501030","Coal Mining, Cleaning & Material Handling /Topsoil Removal"
"164","30501031","Coal Mining, Cleaning & Material Handling /Scrapers: Travel Mode"
"165","30501032","Coal Mining, Cleaning & Material Handling /Topsoil Unloading"
"166","30501033","Coal Mining, Cleaning & Material Handling /Overburden"
"167","30501034","Coal Mining, Cleaning & Material Handling /Coal Seam: Drilling"
"168","30501035","Coal Mining, Cleaning & Material Handling /Blasting: Coal Overburden"
"169","30501036","Coal Mining, Cleaning & Material Handling /Dragline: Overburden Removal"
"170","30501037","Coal Mining, Cleaning & Material Handling /Truck Loading: Overburden"
"171","30501038","Coal Mining, Cleaning & Material Handling /Truck Loading: Coal"
"172","30501039","Coal Mining, Cleaning & Material Handling /Hauling: Haul Trucks"
"173","30501040","Coal Mining, Cleaning & Material Handling /Truck Unloading: End Dump - Coal"
"174","30501041","Coal Mining, Cleaning & Material Handling /Truck Unloading: Bottom Dump - Coal"
"175","30501042","Coal Mining, Cleaning & Material Handling /Truck Unloading: Bottom Dump - Overburden"
"176","30501043","Coal Mining, Cleaning & Material Handling /Open Storage Pile: Coal"
"177","30501044","Coal Mining, Cleaning & Material Handling /Train Loading: Coal"
"178","30501045","Coal Mining, Cleaning & Material Handling /Bulldozing: Overburden"
"179","30501046","Coal Mining, Cleaning & Material Handling /Bulldozing: Coal"
"180","30501047","Coal Mining, Cleaning & Material Handling /Grading"
"181","30501048","Coal Mining, Cleaning & Material Handling /Overburden Replacement"
"182","30501049","Coal Mining, Cleaning & Material Handling /Wind Erosion: Exposed Areas"
"183","30501050","Coal Mining, Cleaning & Material Handling /Vehicle Traffic: Light/Medium Vehicles"
"184","30501051","Coal Mining, Cleaning & Material Handling /Surface Mining Operations: Open Storage Pile: Spoils"
"185","30501060","Coal Mining, Cleaning & Material Handling /Surface Mining Operations: Primary Crusher"
"186","30501061","Coal Mining, Cleaning & Material Handling /Surface Mining Operations: Secondary Crusher"
"187","30501062","Coal Mining, Cleaning & Material Handling /Surface Mining Operations: Screens"
"188","30501090","Coal Mining, Cleaning & Material Handling /Haul Roads: General"
"189","30501099","Coal Mining, Cleaning & Material Handling /Other Not Classified"
"190","30501618","Lime Manuf /Calcining: Coal-fired Rotary Kiln"
"191","30501620","Lime Manuf /Calcining: Coal- and Gas-fired Rotary Kiln"
"192","30501621","Lime Manuf /Calcining: Coal- and Coke-fired Rotary Kiln"
"193","30501622","Lime Manuf /Calcining: Coal-fired Rotary Preheater Kiln"
"194","30510103","Mineral Prods /Bulk Materials Conveyors /Coal"
"195","30510203","Mineral Prods /Bulk Materials Storage Bins /Coal"
"196","30510303","Mineral Prods /Bulk Materials Open Stockpiles /Coal"
"197","30510403","Mineral Prods /Bulk Materials Unloading Op /Coal"
"198","30510503","Mineral Prods /Bulk Materials Loading  /Coal"
"199","30531001","Coal Mining, Cleaning & Material Handling /Fluidized Bed"
"200","30531002","Coal Mining, Cleaning & Material Handling /Flash or Suspension"
"201","30531003","Coal Mining, Cleaning & Material Handling /Multilouvered"
"202","30531004","Coal Mining, Cleaning & Material Handling /Rotary"
"203","30531005","Coal Mining, Cleaning & Material Handling /Cascade"
"204","30531006","Coal Mining, Cleaning & Material Handling /Continuous Carrier"
"205","30531007","Coal Mining, Cleaning & Material Handling /Screen"
"206","30531008","Coal Mining, Cleaning & Material Handling /Unloading"
"207","30531009","Coal Mining, Cleaning & Material Handling /Raw Coal Storage"
"208","30531010","Coal Mining, Cleaning & Material Handling /Crushing"
"209","30531011","Coal Mining, Cleaning & Material Handling /Coal Transfer"
"210","30531012","Coal Mining, Cleaning & Material Handling /Screening"
"211","30531013","Coal Mining, Cleaning & Material Handling /Air Tables"
"212","30531014","Coal Mining, Cleaning & Material Handling /Cleaned Coal Storage"
"213","30531015","Coal Mining, Cleaning & Material Handling /Loading"
"214","30531016","Coal Mining, Cleaning & Material Handling /Loading: Clean Coal"
"215","30531017","Coal Mining, Cleaning & Material Handling /Secondary Crushing"
"216","30531090","Coal Mining, Cleaning & Material Handling /Haul Roads: General"
"217","30531099","Coal Mining, Cleaning & Material Handling /Other Not Classified"
"218","30901604","Fabricated Metal /Metal Pipe Coating of Metal Parts /Coal Tar/Asphalt Melting Kettle"
"219","30901611","Fabricated Metal /Metal Pipe Coating of Metal Parts /Raw Material Storage: Coal Tar"
"220","39000189","In-Process Fuel Use /Anthracite Coal /General"
"221","39000199","In-Process Fuel Use /Anthracite Coal /General"
"222","39000201","In-Process Fuel Use /Bituminous Coal /Cement Kiln/Dryer"
"223","39000203","In-Process Fuel Use /Bituminous Coal /Lime Kiln"
"224","39000288","In-Process Fuel Use /Subbituminous Coal /General"
"225","39000289","In-Process Fuel Use /Bituminous Coal /General"
"226","39000299","In-Process Fuel Use /Bituminous Coal /General"
"227","50190002","Waste Disp-Govt /Auxillary Fuel-No Emissions /Coal"
"228","50290002","Waste Disp-Comm-Inst /Auxillary Fuel-No Emissions /Coal"
"229","50300204","Waste Disp-Indus /Open Burning /Coal Refuse Piles"
"230","50390002","Waste Disp-Indus /Auxillary Fuel-No Emissions /Coal"
